         usid   latitude   longitude                 cell  earfcndl
302    100853  34.410556 -119.844500        CSL01410_7B_1      5780
303     73248  32.783135 -117.236659        CAL02069_7C_1      5780
304     26436  34.067449 -118.148863        CLL05888_7C_1      5780
305     26534  33.877119 -117.640861        CSL04444_7B_1      5780
306     26534  33.877119 -117.640861        CSL04444_7B_1      5780
307     12419  33.639556 -117.939778        CLL03442_7C_1      5780
308     12419  33.639556 -117.939778        CLL03442_7C_1      5780
309    104820  33.852084 -118.195461        CLL02679_7C_1      5780
310     50574  33.087033 -117.238706        CAL00157_7B_1      5780
311     48192  33.857639 -117.589778        CSL04447_7B_1      5780
312     44228  34.429689 -119.738689        CSL01432_7A_1      5780
313     97768  33.773639 -117.782889        CLL03646_7A_1      5780
314     24268  33.937389 -117.496667        CSL04516_7A_1      5780
315    115983  33.172019 -117.359238        CAL00485_7B_1      5780
316     48200  33.989611 -117.220472        CSL04667_7B_1      5780
317     15429  34.205833 -118.835500        CSL01643_7A_1      5780
318    102316  34.169814 -118.118500        CLL05809_7C_1      5780
319     48105  33.706389 -117.806111        CLL03671_7C_1      5780
320    102002  34.049361 -117.506278        CSL04475_7B_1      5780
321     12529  34.245139 -119.191722        CSL01499_7B_1      5780
322     24380  33.893611 -117.945278        CLL03098_7C_1      5780
323     11983  33.959235 -118.437394        CLL02298_7A_1      5780
324    100990  33.758867 -118.132347        CLL03295_7A_1      5780
325     48264  34.181417 -118.822000        CSL01692_7A_1      5780
326     43729  34.014722 -118.056389        CLL03001_7B_1      5780
327     24267  33.889806 -117.508417        CSL04458_7A_1      5780
328     12139  34.073444 -117.939972        CLL04242_7A_1      5780
329     81490  34.090972 -117.585111        CSL04401_7A_1      5780
330     12110  34.047472 -117.949306        CLL04253_7C_1      5780
331     84127  34.201472 -118.563056        CLL01921_7C_1      5780
332     97768  33.773639 -117.782889        CLL03646_7B_1      5780
333     26342  34.274697 -118.450128        CLL05214_7B_1      5780
334     26342  34.274697 -118.450128        CLL05214_7B_1      5780
335     46892  33.982778 -118.441667        CLL02284_7C_1      5780
336     12075  33.929789 -118.431633        CLL02325_7A_1      5780
